username,repo_name,stars,repo_url
bregman-arie,devops-exercises,17200,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12100,https://github.com/ramitsurana/awesome-kubernetes
microsoft,recommenders,11400,https://github.com/microsoft/recommenders
Azure,azure-quickstart-templates,10900,https://github.com/Azure/azure-quickstart-templates
pulumi,pulumi,10100,https://github.com/pulumi/pulumi
mozilla,sops,8300,https://github.com/mozilla/sops
microsoft,computervision-recipes,8100,https://github.com/microsoft/computervision-recipes
google,go-cloud,8000,https://github.com/google/go-cloud
caprover,caprover,7700,https://github.com/caprover/caprover
microsoft,azuredatastudio,6500,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6000,https://github.com/node-formidable/formidable
midwayjs,midway,4800,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,4200,https://github.com/thangchung/clean-code-dotnet
infracost,infracost,4100,https://github.com/infracost/infracost
budtmo,docker-android,3800,https://github.com/budtmo/docker-android
cloud-custodian,cloud-custodian,3800,https://github.com/cloud-custodian/cloud-custodian
nccgroup,ScoutSuite,3600,https://github.com/nccgroup/ScoutSuite
simov,grant,3400,https://github.com/simov/grant
aquasecurity,tfsec,3400,https://github.com/aquasecurity/tfsec
Qovery,engine,3300,https://github.com/Qovery/engine
bridgecrewio,checkov,3300,https://github.com/bridgecrewio/checkov
Azure,azure-sdk-for-net,2900,https://github.com/Azure/azure-sdk-for-net
hashicorp,terraform-provider-azurerm,2900,https://github.com/hashicorp/terraform-provider-azurerm
Azure,azure-powershell,2800,https://github.com/Azure/azure-powershell
Azure,azure-cli,2700,https://github.com/Azure/azure-cli
Azure,MachineLearningNotebooks,2700,https://github.com/Azure/MachineLearningNotebooks
mlabouardy,komiser,2700,https://github.com/mlabouardy/komiser
APIs-guru,openapi-directory,2600,https://github.com/APIs-guru/openapi-directory
microsoft,SynapseML,2400,https://github.com/microsoft/SynapseML
smartstore,SmartStoreNET,2300,https://github.com/smartstore/SmartStoreNET
